,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New,District
3802,150815908,2,8600000.0,53.0,29,9,13.97,10,1,0.0,0.0,1.0,5,5,0.0,59.0
3803,150344074,1,5700000.0,33.0,17,9,13.61,15,1,0.0,1.0,0.0,4,5,0.0,59.0
3804,150767128,1,5000000.0,38.1,19,9,14.19,12,1,0.0,1.0,0.0,2,12,0.0,59.0
3805,43369704,1,3600000.0,15.0,13,2,14.3,12,1,1.0,0.0,0.0,5,6,0.0,59.0
3806,47093572,студия ,3600000.0,16.4,14.4,2,14.3,20,1,1.0,0.0,0.0,1,6,0.0,59.0
3807,47666464,студия ,3650000.0,16.2,14.2,2,14.3,16,1,1.0,0.0,0.0,3,6,0.0,59.0
3808,47093377,студия ,3650000.0,16.4,14.4,2,14.3,20,1,1.0,0.0,0.0,2,6,0.0,59.0
3809,150871186,студия ,3650000.0,16.4,14,,14.3,10,1,1.0,1.0,0.0,2,5,0.0,59.0
3810,149558208,1,4400000.0,30.0,17,6.1,14.16,10,1,0.0,0.0,0.0,1,5,0.0,59.0
3811,150822057,1,4800000.0,33.0,23,6,14.29,18,1,1.0,1.0,0.0,3,6,0.0,59.0
3812,150805340,1,5000000.0,31.0,18,6,15.09,25,1,1.0,1.0,1.0,3,9,0.0,59.0
3813,150378237,1,5100000.0,33.0,18,6,15.06,15,1,0.0,1.0,1.0,9,9,0.0,59.0
3814,144494792,1,5100000.0,34.0,21,6,15.26,15,1,0.0,0.0,1.0,4,9,0.0,59.0
3815,145846989,1,5300000.0,35.0,20,9,14.66,15,1,0.0,1.0,1.0,4,12,0.0,59.0
3816,150697587,1,5400000.0,35.0,20,10,13.61,15,1,0.0,1.0,1.0,9,12,0.0,59.0
3817,150647581,1,5500000.0,35.0,19,9.8,15.56,,,0.0,0.0,1.0,7,14,0.0,59.0
3818,137768946,2,5500000.0,44.4,29.6,6,14.96,27,1,0.0,1.0,1.0,3,5,0.0,59.0
3819,149030880,1,5500000.0,35.0,20,10,15.1,5,0,0.0,0.0,1.0,2,12,0.0,59.0
3820,150695817,3,5550000.0,56.0,42,6,14.3,15,1,1.0,0.0,1.0,3,5,0.0,59.0
3821,148791364,2,5600000.0,46.0,30,6,14.36,15,1,0.0,1.0,1.0,4,5,0.0,59.0
3822,138161243,1,5800000.0,34.0,19.1,6,13.49,7,1,0.0,1.0,0.0,8,9,0.0,59.0
3823,149759389,1,5900000.0,40.0,20,9,13.77,10,1,0.0,0.0,0.0,1,16,0.0,59.0
3824,51497924,1,5950000.0,34.0,19,6,15.09,20,0,1.0,0.0,1.0,3,9,0.0,59.0
3825,138044393,1,6000000.0,34.0,19,10,13.49,13,1,0.0,0.0,0.0,1,12,0.0,59.0
3826,149269550,2,6350000.0,43.3,29.2,6,14.72,5,0,0.0,1.0,1.0,2,9,0.0,59.0
3827,147709510,2,6800000.0,52.5,30.3,9.3,15.56,,,0.0,0.0,1.0,9,14,0.0,59.0
3828,150644232,2,7650000.0,47.7,29.9,7,14.12,7,0,1.0,0.0,1.0,4,9,0.0,59.0
3829,150802639,2,7800000.0,51.5,35,9,13.97,12,1,0.0,1.0,1.0,4,5,0.0,59.0
3830,149988636,3,14470000.0,65.0,45,9.5,13.42,5,1,0.0,1.0,1.0,11,12,0.0,59.0
3831,150815908,2,8600000.0,53.0,29,9,13.97,10,1,0.0,0.0,1.0,5,5,0.0,59.0
3832,150767128,1,5000000.0,38.1,19,9,14.19,12,1,0.0,1.0,0.0,2,12,0.0,59.0
3833,150718720,3,8100000.0,58.0,42,6,14.91,27,1,0.0,1.0,1.0,6,9,0.0,59.0
3834,150677359,2,8400000.0,50.2,30.3,8.3,13.88,14,1,0.0,1.0,0.0,1,17,0.0,59.0
3835,150743808,3,8500000.0,56.0,39,6,14.86,20,1,0.0,1.0,1.0,4,9,0.0,59.0
3836,148434933,2,9100000.0,51.0,29.4,10.2,14.12,16,1,0.0,0.0,1.0,8,10,0.0,59.0
3837,149853976,3,9650000.0,62.8,47.2,6,15.06,15,1,1.0,1.0,1.0,8,9,0.0,59.0
3838,150585686,3,10500000.0,71.0,51,8,14.35,2,0,1.0,0.0,0.0,1,5,0.0,59.0
3839,149803365,4,12000000.0,63.0,48,6,14.64,25,1,0.0,1.0,1.0,1,9,0.0,59.0
3840,148363158,3,12500000.0,78.8,51,8.4,14.38,15,1,1.0,1.0,0.0,2,5,0.0,59.0
3841,149564377,4,19900000.0,105.2,80,,14.25,14,1,1.0,1.0,0.0,2,7,0.0,59.0
3842,150320993,3,19900000.0,105.2,80,,14.25,14,1,1.0,1.0,0.0,2,7,0.0,59.0
3843,149265001,3,27000000.0,103.0,58,12,13.6,9,1,1.0,1.0,1.0,18,19,0.0,59.0
3844,149734029,4,36900000.0,146.0,86,14,14.2,10,1,1.0,1.0,1.0,9,15,0.0,59.0
3845,149898162,5,37000000.0,144.0,73,36.4,14.2,14,1,1.0,0.0,1.0,11,15,0.0,59.0
3846,149850388,4,37000000.0,142.0,73,37,14.2,14,1,1.0,0.0,1.0,11,15,0.0,59.0
3847,149670171,5,60329085.0,157.1,125,,13.48,6,1,1.0,0.0,1.0,2,17,0.0,59.0
3848,146932038,1,3300000.0,33.0,25,4,14.11,15,1,1.0,0.0,0.0,3,5,0.0,59.0
3849,150914278,1,3900000.0,28.0,17,4,14.21,15,1,1.0,0.0,0.0,3,5,0.0,59.0
3850,147192115,1,4100000.0,15.9,13,2,14.3,15,1,0.0,0.0,0.0,3,6,0.0,59.0
3851,149090772,1,4300000.0,29.0,16,5,14.07,10,1,0.0,0.0,1.0,3,5,0.0,59.0
3852,142188220,1,4450000.0,30.0,17,6,14.41,13,1,0.0,1.0,1.0,3,5,0.0,59.0
3853,149754947,1,4500000.0,33.0,26,6,13.77,10,1,0.0,0.0,0.0,1,9,0.0,59.0
3854,150294401,1,4700000.0,28.0,18,7,14.29,18,1,0.0,0.0,0.0,4,5,0.0,59.0
3855,149502318,1,4800000.0,30.0,17,6,14.37,15,1,1.0,0.0,0.0,1,5,0.0,59.0
3856,150794859,1,4800000.0,36.5,22.2,7,15.26,,,0.0,1.0,0.0,1,9,0.0,59.0
3857,150060272,1,4900000.0,34.0,17,7.4,13.71,11,0,1.0,1.0,0.0,2,5,0.0,59.0
3858,150815908,2,8600000.0,53.0,29,9,13.97,10,1,0.0,0.0,1.0,5,5,0.0,59.0
3859,150767128,1,5000000.0,38.1,19,9,14.19,12,1,0.0,1.0,0.0,2,12,0.0,59.0
3860,150344074,1,5700000.0,33.0,17,9,13.61,15,1,0.0,1.0,0.0,4,5,0.0,59.0
3861,149272813,1,4950000.0,33.0,18.3,7,14.29,15,1,1.0,0.0,0.0,3,6,0.0,59.0
3862,149763881,1,4990000.0,30.7,20,6,13.45,10,1,1.0,1.0,1.0,5,5,0.0,59.0
3863,149305806,1,4990000.0,31.0,18,6,14.91,10,0,1.0,1.0,1.0,7,9,0.0,59.0
